queja,tipo,resumen,sentimiento,contestación
Estoy completamente frustrado porque al intentar retirar dinero el cajero se tragó mi tarjeta sin motivo alguno. Esto es inaceptable y necesito una solución inmediata. ¡Es mi dinero y no puedo acceder a él!,DRD_,El cliente se queja de que un cajero automático retuvo su tarjeta sin motivo.,Negativo_,"Sentimos mucho el problema que ha experimentado con nuestro cajero automático. Por favor, acuda a la sucursal más cercana con su identificación para que podamos recuperar su tarjeta y acceder a su cuenta. Tomaremos medidas para asegurar que esto no vuelva a suceder."
Quisiera expresar mi insatisfacción con el tiempo que tardan en reflejarse los depósitos hechos por cheque en mi cuenta. Afecta mi flujo de efectivo y mi capacidad de hacer pagos a tiempo.,DRD_,El cliente se queja de la demora en el reflejo de depósitos por cheque.,Neutro_,Entendemos su preocupación respecto al tiempo de procesamiento de los cheques. Estamos trabajando para mejorar nuestros tiempos de procesamiento. Le agradecemos su feedback y su paciencia mientras mejoramos nuestros servicios.
¡Es inadmisible que haya sido cobrado por un retiro que nunca realicé! Esto es un error grave de su parte y exijo que se corrija inmediatamente.,DRD_,El cliente se queja de ser cobrado por un retiro que nunca realizó.,Negativo_,"Comprendemos su preocupación y la seriedad de la situación. Vamos a revisar de inmediato sus transacciones y corregir cualquier error encontrado. Por favor, proporcione cualquier detalle adicional que pueda ayudarnos en esta investigación."
He notado que el límite de retiro se ha reducido sin previo aviso. Esto limita mi acceso al efectivo cuando más lo necesito.,DRD_,El cliente se queja de la reducción no anunciada del límite de retiro.,Neutro_,"Lamentamos cualquier inconveniente que esta modificación en el límite de retiro haya causado. Esta medida se tomó considerando la seguridad de nuestros clientes, pero entendemos su situación y estamos aquí para encontrar una solución que se ajuste a sus necesidades."
Es completamente inaceptable que mi depósito directo no se haya procesado a tiempo. Dependo de esos fondos para mis gastos diarios.,DRD_,El cliente se queja de la tardanza en el procesamiento de su depósito directo.,Negativo_,"Pedimos disculpas por el retraso en el procesamiento de su depósito directo. Estamos investigando la causa de este retraso para asegurarnos de que no vuelva a ocurrir. Por favor, póngase en contacto con nuestro equipo de soporte para discutir cómo podemos asistirle en este momento."
Quiero reportar un problema con un cajero automático que no me entregó el monto solicitado pero sí lo descontó de mi cuenta.,DRD_,"El cliente se queja de no recibir el monto solicitado en un retiro, aunque el monto fue descontado.",Neutro_,Es muy importante para nosotros asegurar la precisión de las transacciones en nuestros cajeros automáticos. Vamos a investigar su caso de inmediato para resolver el problema y ajustar su saldo correctamente. Le agradecemos por hacernos saber sobre este incidente.
¡Es la tercera vez este mes que un depósito realizado a través de su aplicación móvil no se registra de inmediato! ¿Cómo se supone que maneje mis finanzas así?,DRD_,El cliente se queja de problemas recurrentes con el registro de depósitos en la aplicación móvil.,Negativo_,Lamentamos los problemas que ha tenido con nuestra aplicación móvil. Estamos constantemente trabajando en mejorar la fiabilidad y la velocidad de los registros de depósitos. Vamos a revisar su caso específico para solucionar este problema lo antes posible.
"He observado que los cajeros automáticos de su banco a menudo están fuera de servicio, lo que me impide realizar operaciones necesarias.",DRD_,El cliente se queja de que los cajeros automáticos a menudo están fuera de servicio.,Neutro_,Agradecemos que nos haya informado sobre la disponibilidad de nuestros cajeros automáticos. Es nuestro compromiso asegurar que nuestros clientes puedan acceder a sus fondos en todo momento. Estamos tomando medidas para mejorar la fiabilidad de nuestros cajeros.
"No puedo creer que aún no acepten depósitos de cheques a través de su aplicación móvil. Esto me obliga a ir físicamente a la sucursal, lo cual es muy inconveniente.",DRD_,El cliente se queja de la falta de capacidad para depositar cheques a través de la aplicación móvil.,Negativo_,Entendemos su frustración por no poder depositar cheques a través de nuestra aplicación móvil. Estamos trabajando para introducir esta funcionalidad pronto y agradecemos su paciencia mientras hacemos esta mejora disponible para nuestros clientes.
"¡Estoy furioso! Me prometieron que cerrar mi cuenta sería un proceso simple y rápido, pero ha pasado más de un mes y todavía se muestra como activa. ¿Qué está pasando?",ACG_,El cliente se queja de la incapacidad del banco para cerrar su cuenta de manera oportuna.,Negativo_,Entendemos su frustración y nos disculpamos por los inconvenientes causados. Parece que hubo un error en el proceso de cierre de su cuenta. Nos ocuparemos de esto inmediatamente y confirmaremos con usted una vez que la cuenta haya sido cerrada satisfactoriamente.
